RBP,geneID,geneName,geneType,clusterNum,clipExpNum,clipIDnum,HepG2(shRNA),K562(shRNA),HepG2(CRIPSR),K562(CRIPSR),pancancerNum
EIF4A3,ENSG00000136997,MYC,protein_coding,10,3,16,-0.528,-0.798,-0.678,-0.16,31
EIF4E,ENSG00000136997,MYC,protein_coding,1,2,2,,,,0.231,17
EIF4G2,ENSG00000136997,MYC,protein_coding,3,2,3,-0.289,-1.142,,,19
ELAVL1,ENSG00000136997,MYC,protein_coding,10,22,74,,,,,17
EWSR1,ENSG00000136997,MYC,protein_coding,9,3,20,,0.309,,,17
EXOSC10,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,19
FAM120A,ENSG00000136997,MYC,protein_coding,4,4,13,0.221,-0.431,,,20
FIP1L1,ENSG00000136997,MYC,protein_coding,5,6,13,,-0.278,,,25
FKBP4,ENSG00000136997,MYC,protein_coding,1,1,1,-0.464,-0.37,,,24
FMR1,ENSG00000136997,MYC,protein_coding,6,3,9,-0.23,-0.882,,,15
FTO,ENSG00000136997,MYC,protein_coding,4,1,4,,-0.888,,,16
FUBP1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,23
FUBP3,ENSG00000136997,MYC,protein_coding,1,1,1,-0.356,,,,18
FUS,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,14
FXR1,ENSG00000136997,MYC,protein_coding,4,2,5,0.274,-0.185,,,21
FXR2,ENSG00000136997,MYC,protein_coding,4,3,6,,,0.449,,15
G3BP1,ENSG00000136997,MYC,protein_coding,5,12,31,-0.433,0.465,,,28
G3BP2,ENSG00000136997,MYC,protein_coding,4,2,5,,-0.96,,,19
GRWD1,ENSG00000136997,MYC,protein_coding,3,2,6,,,,,26
GTF2F1,ENSG00000136997,MYC,protein_coding,3,4,10,,,,,13
HDLBP,ENSG00000136997,MYC,protein_coding,2,2,5,,,,,19
HLTF,ENSG00000136997,MYC,protein_coding,2,1,2,-0.591,-0.481,,,13
HNRNPA2B1,ENSG00000136997,MYC,protein_coding,8,3,12,-0.216,,,,19
HNRNPC,ENSG00000136997,MYC,protein_coding,6,15,44,-0.563,,,,25
HNRNPH1,ENSG00000136997,MYC,protein_coding,3,2,4,,,,,20
HNRNPK,ENSG00000136997,MYC,protein_coding,5,6,13,0.708,,,,25
HNRNPL,ENSG00000136997,MYC,protein_coding,2,4,4,0.487,,,,17
HNRNPU,ENSG00000136997,MYC,protein_coding,4,2,4,-0.521,,,,21
HNRNPUL1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,16
IGF2BP1,ENSG00000136997,MYC,protein_coding,3,6,14,,,,,13
IGF2BP2,ENSG00000136997,MYC,protein_coding,5,4,13,0.243,,,,17
IGF2BP3,ENSG00000136997,MYC,protein_coding,6,7,21,0.305,,,,17
ILF3,ENSG00000136997,MYC,protein_coding,1,2,2,-0.576,-0.746,,,24
KHDRBS1,ENSG00000136997,MYC,protein_coding,1,2,2,,,,,20
KHDRBS2,ENSG00000136997,MYC,protein_coding,1,3,3,,,,,13
KHSRP,ENSG00000136997,MYC,protein_coding,1,4,4,,-0.511,,,24
LIN28B,ENSG00000136997,MYC,protein_coding,5,5,11,,0.171,,,9
LUC7L2,ENSG00000136997,MYC,protein_coding,2,1,2,,,,,16
MARF1,ENSG00000136997,MYC,protein_coding,4,2,6,,,,,17
MBNL1,ENSG00000136997,MYC,protein_coding,1,1,1,,0.399,,,19
METTL1,ENSG00000136997,MYC,protein_coding,1,2,2,,,,,17
METTL14,ENSG00000136997,MYC,protein_coding,2,4,8,,,,,17
METTL3,ENSG00000136997,MYC,protein_coding,4,3,7,,,,,20
MOV10,ENSG00000136997,MYC,protein_coding,2,3,6,,,,,11
MSI2,ENSG00000136997,MYC,protein_coding,4,4,9,-1.042,-1.434,,,20
MTA1,ENSG00000136997,MYC,protein_coding,4,1,4,,,,,23
MTDH,ENSG00000136997,MYC,protein_coding,5,1,10,,,,,28
NAT10,ENSG00000136997,MYC,protein_coding,2,1,7,,,,,26
NIPBL,ENSG00000136997,MYC,protein_coding,2,1,2,,,,,12
NONO,ENSG00000136997,MYC,protein_coding,3,2,4,,0.234,,,21
NUDT16L1,ENSG00000136997,MYC,protein_coding,3,3,8,,,,,18
NUDT21,ENSG00000136997,MYC,protein_coding,2,2,2,,,,,20
NXF1,ENSG00000136997,MYC,protein_coding,7,5,14,,,,,20
PABPC4,ENSG00000136997,MYC,protein_coding,1,1,1,-1.152,,,,26
PCBP2,ENSG00000136997,MYC,protein_coding,6,4,11,-0.607,,,,15
POLR2A,ENSG00000136997,MYC,protein_coding,3,1,3,,,,-0.364,17
PRPF39,ENSG00000136997,MYC,protein_coding,1,2,2,,,,,15
PRPF4,ENSG00000136997,MYC,protein_coding,3,2,10,,,,,27
PRPF8,ENSG00000136997,MYC,protein_coding,7,4,24,-0.51,-0.596,,,19
PTBP1,ENSG00000136997,MYC,protein_coding,6,3,9,-0.598,-0.402,,,21
PUM1,ENSG00000136997,MYC,protein_coding,5,3,6,0.649,-0.451,,,12
QKI,ENSG00000136997,MYC,protein_coding,2,2,2,-0.773,-0.228,,,24
RANGAP1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,17
RBFOX1,ENSG00000136997,MYC,protein_coding,2,2,3,,,,,13
RBFOX2,ENSG00000136997,MYC,protein_coding,6,9,16,,,,,14
RBM15,ENSG00000136997,MYC,protein_coding,8,2,24,,0.365,,,20
RBM15B,ENSG00000136997,MYC,protein_coding,9,2,29,,,,,22
RBM20,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,13
RBM22,ENSG00000136997,MYC,protein_coding,2,2,5,0.144,,,,17
RBM39,ENSG00000136997,MYC,protein_coding,5,2,7,,,,,17
RBM4,ENSG00000136997,MYC,protein_coding,2,6,19,,,,,18
RBM47,ENSG00000136997,MYC,protein_coding,3,2,5,,,,,13
RBM7,ENSG00000136997,MYC,protein_coding,10,4,63,,,,,22
RBMX,ENSG00000136997,MYC,protein_coding,4,5,9,,,,,25
RC3H1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,18
RNF10,ENSG00000136997,MYC,protein_coding,2,1,2,,,,,7
RNPS1,ENSG00000136997,MYC,protein_coding,8,18,155,,,,,16
RPS3,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,21
SCAF4,ENSG00000136997,MYC,protein_coding,4,3,5,,,,,21
SCAF8,ENSG00000136997,MYC,protein_coding,2,2,4,,,,,16
SDAD1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,26
SERBP1,ENSG00000136997,MYC,protein_coding,3,1,3,-0.296,-0.318,,,28
SF3B1,ENSG00000136997,MYC,protein_coding,1,1,1,,-0.615,,-0.857,15
SF3B4,ENSG00000136997,MYC,protein_coding,1,2,2,-0.185,,,,14
SLBP,ENSG00000136997,MYC,protein_coding,4,2,7,0.079,,,,15
SLTM,ENSG00000136997,MYC,protein_coding,5,4,9,,0.217,,,19
SND1,ENSG00000136997,MYC,protein_coding,4,3,7,,,,,21
SOX2,ENSG00000136997,MYC,protein_coding,1,2,2,,,,,13
SP1,ENSG00000136997,MYC,protein_coding,6,3,9,,,,,18
SRSF1,ENSG00000136997,MYC,protein_coding,7,3,10,-1.258,-0.473,,,19
SRSF3,ENSG00000136997,MYC,protein_coding,7,1,12,0.238,,,-0.831,22
SRSF6,ENSG00000136997,MYC,protein_coding,3,1,4,,,,,22
SRSF7,ENSG00000136997,MYC,protein_coding,5,3,11,,,-0.132,,25
SRSF9,ENSG00000136997,MYC,protein_coding,3,3,4,0.319,,,,24
TAF15,ENSG00000136997,MYC,protein_coding,1,1,1,-0.134,-0.949,,,14
TARDBP,ENSG00000136997,MYC,protein_coding,4,41,62,,,,,15
TFIP11,ENSG00000136997,MYC,protein_coding,3,2,6,0.644,,,,25
TIA1,ENSG00000136997,MYC,protein_coding,6,6,12,,,,,15
TIAL1,ENSG00000136997,MYC,protein_coding,2,7,9,-1.852,-0.434,,,21
TOP3B,ENSG00000136997,MYC,protein_coding,4,1,4,,,,,22
TRA2A,ENSG00000136997,MYC,protein_coding,2,2,2,,0.288,,,14
TRA2B,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,24
TRIM25,ENSG00000136997,MYC,protein_coding,4,2,8,,,,,20
TRMT10A,ENSG00000136997,MYC,protein_coding,2,1,2,,,,,17
U2AF1,ENSG00000136997,MYC,protein_coding,10,11,33,0.192,-0.364,,,11
U2AF2,ENSG00000136997,MYC,protein_coding,7,15,44,,-0.823,,,18
UPF1,ENSG00000136997,MYC,protein_coding,4,5,25,-0.429,-0.697,,,19
WDR33,ENSG00000136997,MYC,protein_coding,1,1,2,,,,,19
WDR4,ENSG00000136997,MYC,protein_coding,5,4,17,,,,,29
XRN2,ENSG00000136997,MYC,protein_coding,2,1,2,-0.247,,,,27
YBX1,ENSG00000136997,MYC,protein_coding,4,5,14,,,0.265,,27
YBX3,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,23
YTHDC1,ENSG00000136997,MYC,protein_coding,9,8,34,,,,,20
YTHDF1,ENSG00000136997,MYC,protein_coding,3,7,50,,,,,17
YTHDF2,ENSG00000136997,MYC,protein_coding,6,16,64,,,,,21
YTHDF3,ENSG00000136997,MYC,protein_coding,6,5,80,,,,,18
ZC3H11A,ENSG00000136997,MYC,protein_coding,1,1,1,,,-0.1,,13
ZC3H7B,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,22
ZCCHC14,ENSG00000136997,MYC,protein_coding,5,2,9,,,,,16
ZCCHC4,ENSG00000136997,MYC,protein_coding,2,2,3,,,,,20
ZFP36,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,22
ZNF800,ENSG00000136997,MYC,protein_coding,1,3,3,,,,,22
