RBP,mRNA_ID_with_RBP,geneName,geneType,clusterNum,totalClipExpNum,totalClipSiteNum,clusterID,chromosome,narrowStart,narrowEnd,broadStart,broadEnd,strand,clipExpNum,HepG2(shRNA),K562(shRNA),HepG2(CRISPR),K562(CRISPR),pancancerNum,cellline/tissue
A1CF,ENSG00000153187,HNRNPU,protein_coding,5,2,7,A1CF:CH17,chr1,244842942,244842994,244842942,244842994.0,-,2.0,,,,,8.0,HEK293T
A1CF,ENSG00000153187,HNRNPU,protein_coding,5,2,7,A1CF:CH18,chr1,244847697,244847736,244847697,244847736.0,-,1.0,,,,,8.0,HEK293T
A1CF,ENSG00000153187,HNRNPU,protein_coding,5,2,7,A1CF:CH19,chr1,244853903,244853942,244853903,244853942.0,-,1.0,,,,,8.0,HEK293T
A1CF,ENSG00000162601,MYSM1,protein_coding,1,1,1,A1CF:CH4,chr1,58654826,58654865,58654826,58654865.0,-,1.0,,,,,22.0,HEK293T
A1CF,ENSG00000164032,H2AZ1,protein_coding,1,1,1,A1CF:CH66,chr4,99948347,99948386,99948347,99948386.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000179029,TMEM107,protein_coding,1,2,2,A1CF:CH52,chr17,8173446,8173544,8173446,8173544.0,-,2.0,,,,,11.0,HEK293T
A1CF,ENSG00000197111,PCBP2,protein_coding,1,1,1,A1CF:CH41,chr12,53479555,53479594,53479555,53479594.0,+,1.0,,,,,7.0,HEK293T
A1CF,ENSG00000244754,N4BP2L2,protein_coding,2,1,2,A1CF:CH48,chr13,32524354,32524393,32524354,32524393.0,-,1.0,,,,,22.0,HEK293T
A1CF,ENSG00000244754,N4BP2L2,protein_coding,2,1,2,A1CF:CH49,chr13,32526340,32526379,32526340,32526379.0,-,1.0,,,,,22.0,HEK293T
AATF,ENSG00000002834,LASP1,protein_coding,1,1,1,AATF:CH222,chr17,38919906,38919945,38919906,38919945.0,+,1.0,0.32,,,,25.0,K562
AATF,ENSG00000010292,NCAPD2,protein_coding,1,2,6,AATF:CH116,chr12,6510235,6510487,6510235,6510487.0,+,2.0,-0.341,,,,24.0,K562
AATF,ENSG00000068878,PSME4,protein_coding,1,1,1,AATF:CH295,chr2,53970740,53970779,53970740,53970779.0,-,1.0,,,,,19.0,K562
AATF,ENSG00000075624,ACTB,protein_coding,1,2,2,AATF:CH491,chr7,5530180,5530406,5530180,5530406.0,-,2.0,,,,,14.0,K562
AATF,ENSG00000076108,BAZ2A,protein_coding,1,1,1,AATF:CH124,chr12,56597609,56597648,56597609,56597648.0,-,1.0,0.246,,,,16.0,K562
AATF,ENSG00000080824,HSP90AA1,protein_coding,1,1,1,AATF:CH156,chr14,102086883,102086922,102086883,102086922.0,-,1.0,,,,,23.0,K562
AATF,ENSG00000082898,XPO1,protein_coding,2,2,2,AATF:CH296,chr2,61537225,61537264,61537225,61537264.0,-,1.0,0.266,0.328,,,17.0,K562
AATF,ENSG00000082898,XPO1,protein_coding,2,2,2,AATF:CH297,chr2,61537499,61537499,61537499,61537499.0,-,1.0,0.266,0.328,,,17.0,K562
AATF,ENSG00000087086,FTL,protein_coding,1,2,2,AATF:CH280,chr19,48966644,48966683,48966644,48966683.0,+,2.0,-0.723,,,,18.0,K562
AATF,ENSG00000089006,SNX5,protein_coding,1,2,4,AATF:CH333,chr20,17962752,17962918,17962752,17962918.0,-,2.0,0.443,,,,15.0,K562
AATF,ENSG00000090615,GOLGA3,protein_coding,1,1,1,AATF:CH137,chr12,132828138,132828177,132828138,132828177.0,-,1.0,-0.299,,,,12.0,K562
AATF,ENSG00000099901,RANBP1,protein_coding,2,2,5,AATF:CH395,chr22,20123509,20123550,20123509,20123550.0,+,2.0,-0.395,,,,24.0,K562
AATF,ENSG00000099901,RANBP1,protein_coding,2,2,5,AATF:CH396,chr22,20126430,20126505,20126430,20126505.0,+,2.0,-0.395,,,,24.0,K562
AATF,ENSG00000100664,EIF5,protein_coding,1,2,2,AATF:CH157,chr14,103337918,103337957,103337918,103337957.0,+,2.0,,,,,14.0,K562
AATF,ENSG00000100814,CCNB1IP1,protein_coding,1,2,3,AATF:CH149,chr14,20323205,20323267,20323205,20323267.0,-,2.0,0.57,,,,19.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH248,chr19,2269775,2269775,2269775,2269775.0,+,1.0,-0.385,,,,24.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH249,chr19,2270238,2270238,2270238,2270238.0,+,1.0,-0.385,,,,24.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH250,chr19,2270524,2270524,2270524,2270524.0,+,1.0,-0.385,,,,24.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH251,chr19,2270908,2271143,2270908,2271143.0,+,2.0,-0.385,,,,24.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH252,chr19,2272058,2272097,2272058,2272097.0,+,1.0,-0.385,,,,24.0,K562
AATF,ENSG00000104904,OAZ1,protein_coding,6,2,7,AATF:CH253,chr19,2272936,2272975,2272936,2272975.0,+,1.0,-0.385,,,,24.0,K562
AATF,ENSG00000105220,GPI,protein_coding,5,2,10,AATF:CH269,chr19,34383157,34383196,34383157,34383196.0,+,1.0,-0.302,,,,25.0,K562
AATF,ENSG00000105220,GPI,protein_coding,5,2,10,AATF:CH270,chr19,34384379,34384421,34384379,34384421.0,+,2.0,-0.302,,,,25.0,K562
AATF,ENSG00000105220,GPI,protein_coding,5,2,10,AATF:CH271,chr19,34385966,34386025,34385966,34386025.0,+,2.0,-0.302,,,,25.0,K562
AATF,ENSG00000105220,GPI,protein_coding,5,2,10,AATF:CH272,chr19,34391903,34392087,34391903,34392087.0,+,2.0,-0.302,,,,25.0,K562
AATF,ENSG00000105220,GPI,protein_coding,5,2,10,AATF:CH273,chr19,34392738,34392738,34392738,34392738.0,+,1.0,-0.302,,,,25.0,K562
AATF,ENSG00000105576,TNPO2,protein_coding,2,2,5,AATF:CH261,chr19,12703597,12703668,12703597,12703668.0,-,2.0,,,,,16.0,K562
AATF,ENSG00000105576,TNPO2,protein_coding,2,2,5,AATF:CH262,chr19,12706450,12706517,12706450,12706517.0,-,2.0,,,,,16.0,K562
AATF,ENSG00000106462,EZH2,protein_coding,1,1,1,AATF:CH503,chr7,148825967,148826006,148825967,148826006.0,-,1.0,,,,,24.0,K562
AATF,ENSG00000108848,LUC7L3,protein_coding,1,2,2,AATF:CH227,chr17,50750718,50750773,50750718,50750773.0,+,2.0,,,,,18.0,K562
AATF,ENSG00000109685,NSD2,protein_coding,1,1,1,AATF:CH429,chr4,1872028,1872067,1872028,1872067.0,+,1.0,,,,,16.0,K562
AATF,ENSG00000110321,EIF4G2,protein_coding,1,2,2,AATF:CH76,chr11,10801465,10801515,10801465,10801515.0,-,2.0,,,,,17.0,K562
AATF,ENSG00000110955,ATP5F1B,protein_coding,2,2,5,AATF:CH125,chr12,56643685,56643725,56643685,56643725.0,-,2.0,-0.124,,,,23.0,K562
AATF,ENSG00000110955,ATP5F1B,protein_coding,2,2,5,AATF:CH126,chr12,56645016,56645065,56645016,56645065.0,-,2.0,-0.124,,,,23.0,K562
AATF,ENSG00000112715,VEGFA,protein_coding,2,2,2,AATF:CH473,chr6,43778191,43778230,43778191,43778230.0,+,1.0,,,,,17.0,K562
AATF,ENSG00000112715,VEGFA,protein_coding,2,2,2,AATF:CH474,chr6,43785138,43785177,43785138,43785177.0,+,1.0,,,,,17.0,K562
AATF,ENSG00000112972,HMGCS1,protein_coding,2,1,2,AATF:CH443,chr5,43291019,43291058,43291019,43291058.0,-,1.0,-0.86,,,,13.0,K562
AATF,ENSG00000112972,HMGCS1,protein_coding,2,1,2,AATF:CH444,chr5,43296643,43296682,43296643,43296682.0,-,1.0,-0.86,,,,13.0,K562
AATF,ENSG00000113013,HSPA9,protein_coding,2,2,8,AATF:CH451,chr5,138561028,138561110,138561028,138561110.0,-,2.0,-0.308,,,,20.0,K562
AATF,ENSG00000113013,HSPA9,protein_coding,2,2,8,AATF:CH452,chr5,138569067,138569106,138569067,138569106.0,-,1.0,-0.308,,,,20.0,K562
AATF,ENSG00000113732,ATP6V0E1,protein_coding,1,2,2,AATF:CH455,chr5,173020793,173020833,173020793,173020833.0,+,2.0,0.426,,,,20.0,K562
AATF,ENSG00000114867,EIF4G1,protein_coding,1,2,2,AATF:CH419,chr3,184325713,184325753,184325713,184325753.0,+,2.0,-0.229,,,,19.0,K562
AATF,ENSG00000115053,NCL,protein_coding,3,2,6,AATF:CH322,chr2,231455834,231455880,231455834,231455880.0,-,2.0,,,,,26.0,K562
AATF,ENSG00000115053,NCL,protein_coding,3,2,6,AATF:CH323,chr2,231456459,231456498,231456459,231456498.0,-,2.0,,,,,26.0,K562
AATF,ENSG00000115053,NCL,protein_coding,3,2,6,AATF:CH324,chr2,231460364,231460409,231460364,231460409.0,-,2.0,,,,,26.0,K562
AATF,ENSG00000116017,ARID3A,protein_coding,2,1,2,AATF:CH245,chr19,944358,944397,944358,944397.0,+,1.0,-0.461,,,,11.0,K562
AATF,ENSG00000116017,ARID3A,protein_coding,2,1,2,AATF:CH246,chr19,954121,954160,954121,954160.0,+,1.0,-0.461,,,,11.0,K562
AATF,ENSG00000120438,TCP1,protein_coding,1,1,1,AATF:CH483,chr6,159780235,159780274,159780235,159780274.0,-,1.0,0.247,,,,25.0,K562
AATF,ENSG00000120690,ELF1,protein_coding,1,1,1,AATF:CH139,chr13,41060724,41060763,41060724,41060763.0,-,1.0,0.188,,,,18.0,K562
AATF,ENSG00000120948,TARDBP,protein_coding,1,1,1,AATF:CH4,chr1,11022659,11022698,11022659,11022698.0,+,1.0,,,,,27.0,K562
AATF,ENSG00000125691,RPL23,protein_coding,2,2,3,AATF:CH220,chr17,38851523,38851562,38851523,38851562.0,-,1.0,0.201,,,,31.0,K562
AATF,ENSG00000125691,RPL23,protein_coding,2,2,3,AATF:CH221,chr17,38852850,38852908,38852850,38852908.0,-,2.0,0.201,,,,31.0,K562
AATF,ENSG00000127184,COX7C,protein_coding,1,1,1,AATF:CH448,chr5,86620508,86620508,86620508,86620508.0,+,1.0,0.646,0.281,,,23.0,K562
AATF,ENSG00000127483,HP1BP3,protein_coding,1,2,2,AATF:CH7,chr1,20775554,20775598,20775554,20775598.0,-,2.0,-0.162,,,,15.0,K562
AATF,ENSG00000129657,SEC14L1,protein_coding,1,2,2,AATF:CH234,chr17,77089348,77089410,77089348,77089410.0,+,2.0,0.599,,,,17.0,K562
AATF,ENSG00000130382,MLLT1,protein_coding,1,1,1,AATF:CH257,chr19,6239488,6239527,6239488,6239527.0,-,1.0,,,,,26.0,K562
AATF,ENSG00000131149,GSE1,protein_coding,4,2,15,AATF:CH191,chr16,85510433,85510472,85510433,85510472.0,+,1.0,,,,,17.0,K562
AATF,ENSG00000131149,GSE1,protein_coding,4,2,15,AATF:CH192,chr16,85587477,85587516,85587477,85587516.0,+,1.0,,,,,17.0,K562
AATF,ENSG00000131149,GSE1,protein_coding,4,2,15,AATF:CH193,chr16,85589500,85589539,85589500,85589539.0,+,1.0,,,,,17.0,K562
AATF,ENSG00000131149,GSE1,protein_coding,4,2,15,AATF:CH194,chr16,85590218,85590733,85590218,85590733.0,+,2.0,,,,,17.0,K562
AATF,ENSG00000132300,PTCD3,protein_coding,1,2,2,AATF:CH301,chr2,86135945,86135985,86135945,86135985.0,+,2.0,,,,,17.0,K562
AATF,ENSG00000134107,BHLHE40,protein_coding,1,1,1,AATF:CH404,chr3,4983826,4983865,4983826,4983865.0,+,1.0,,0.688,,,17.0,K562
AATF,ENSG00000134882,UBAC2,protein_coding,1,2,2,AATF:CH145,chr13,99205755,99205794,99205755,99205794.0,+,2.0,-0.398,,,,17.0,K562
AATF,ENSG00000136527,TRA2B,protein_coding,1,1,1,AATF:CH420,chr3,185934388,185934427,185934388,185934427.0,-,1.0,,-0.236,,,20.0,K562
AATF,ENSG00000137073,UBAP2,protein_coding,2,2,3,AATF:CH517,chr9,33934287,33934327,33934287,33934327.0,-,2.0,,,,,16.0,K562
AATF,ENSG00000137073,UBAP2,protein_coding,2,2,3,AATF:CH518,chr9,33952761,33952800,33952761,33952800.0,-,1.0,,,,,16.0,K562
AATF,ENSG00000137955,RABGGTB,protein_coding,3,2,8,AATF:CH26,chr1,75787072,75787133,75787072,75787133.0,+,2.0,-0.443,-0.245,,,13.0,K562
AATF,ENSG00000137955,RABGGTB,protein_coding,3,2,8,AATF:CH27,chr1,75787889,75787952,75787889,75787952.0,+,2.0,-0.443,-0.245,,,13.0,K562
AATF,ENSG00000137955,RABGGTB,protein_coding,3,2,8,AATF:CH28,chr1,75789490,75789529,75789490,75789529.0,+,2.0,-0.443,-0.245,,,13.0,K562
AATF,ENSG00000138674,SEC31A,protein_coding,2,2,4,AATF:CH433,chr4,82895842,82895890,82895842,82895890.0,-,2.0,-0.223,,,,21.0,K562
AATF,ENSG00000138674,SEC31A,protein_coding,2,2,4,AATF:CH434,chr4,82898143,82898185,82898143,82898185.0,-,2.0,-0.223,,,,21.0,K562
AATF,ENSG00000142534,RPS11,protein_coding,1,2,3,AATF:CH287,chr19,49497750,49497764,49497750,49497764.0,+,2.0,,,,,26.0,K562
AATF,ENSG00000143569,UBAP2L,protein_coding,1,2,2,AATF:CH42,chr1,154259798,154259851,154259798,154259851.0,+,2.0,,,,,22.0,K562
AATF,ENSG00000146963,LUC7L2,protein_coding,1,1,1,AATF:CH500,chr7,139360365,139360404,139360365,139360404.0,+,1.0,,,,,16.0,K562
AATF,ENSG00000147162,OGT,protein_coding,1,1,1,AATF:CH553,chrX,71574765,71574804,71574765,71574804.0,+,1.0,0.347,,,,13.0,K562
AATF,ENSG00000149273,RPS3,protein_coding,2,2,6,AATF:CH103,chr11,75400391,75400446,75400391,75400446.0,+,2.0,,,,,25.0,K562
AATF,ENSG00000149273,RPS3,protein_coding,2,2,6,AATF:CH104,chr11,75404421,75404496,75404421,75404496.0,+,2.0,,,,,25.0,K562
AATF,ENSG00000153187,HNRNPU,protein_coding,1,1,1,AATF:CH59,chr1,244863364,244863403,244863364,244863403.0,-,1.0,,,,,26.0,K562
AATF,ENSG00000154803,FLCN,protein_coding,1,1,1,AATF:CH208,chr17,17216890,17216929,17216890,17216929.0,-,1.0,,,,,12.0,K562
AATF,ENSG00000156976,EIF4A2,protein_coding,5,2,10,AATF:CH421,chr3,186784805,186784864,186784805,186784864.0,+,2.0,0.317,,,,13.0,K562
AATF,ENSG00000156976,EIF4A2,protein_coding,5,2,10,AATF:CH422,chr3,186786358,186786358,186786358,186786358.0,+,1.0,0.317,,,,13.0,K562
AATF,ENSG00000156976,EIF4A2,protein_coding,5,2,10,AATF:CH423,chr3,186786675,186786814,186786675,186786814.0,+,2.0,0.317,,,,13.0,K562
AATF,ENSG00000156976,EIF4A2,protein_coding,5,2,10,AATF:CH424,chr3,186787381,186787421,186787381,186787421.0,+,2.0,0.317,,,,13.0,K562
AATF,ENSG00000156976,EIF4A2,protein_coding,5,2,10,AATF:CH425,chr3,186787646,186787685,186787646,186787685.0,+,1.0,0.317,,,,13.0,K562
AATF,ENSG00000161813,LARP4,protein_coding,1,2,3,AATF:CH122,chr12,50456718,50456723,50456718,50456723.0,+,2.0,,,,,10.0,K562
AATF,ENSG00000164104,HMGB2,protein_coding,1,1,1,AATF:CH439,chr4,173332041,173332041,173332041,173332041.0,-,1.0,-0.489,,,,22.0,K562
AATF,ENSG00000164828,SUN1,protein_coding,2,2,7,AATF:CH486,chr7,892902,892902,892902,892902.0,+,1.0,,,,,15.0,K562
AATF,ENSG00000164828,SUN1,protein_coding,2,2,7,AATF:CH487,chr7,893259,893624,893259,893624.0,+,2.0,,,,,15.0,K562
AATF,ENSG00000166747,AP1G1,protein_coding,1,1,1,AATF:CH189,chr16,71758397,71758436,71758397,71758436.0,-,1.0,,,,,16.0,K562
AATF,ENSG00000167658,EEF2,protein_coding,2,2,4,AATF:CH255,chr19,3979968,3980018,3979968,3980018.0,-,2.0,,,,,17.0,K562
AATF,ENSG00000167658,EEF2,protein_coding,2,2,4,AATF:CH256,chr19,3982500,3982549,3982500,3982549.0,-,2.0,,,,,17.0,K562
AATF,ENSG00000167721,TSR1,protein_coding,2,2,3,AATF:CH198,chr17,2329128,2329184,2329128,2329184.0,-,2.0,,,,,23.0,K562
AATF,ENSG00000167721,TSR1,protein_coding,2,2,3,AATF:CH199,chr17,2330287,2330326,2330287,2330326.0,-,1.0,,,,,23.0,K562
AATF,ENSG00000168137,SETD5,protein_coding,1,1,1,AATF:CH405,chr3,9434518,9434557,9434518,9434557.0,+,1.0,0.353,,,,21.0,K562
AATF,ENSG00000169045,HNRNPH1,protein_coding,2,2,3,AATF:CH457,chr5,179621759,179621799,179621759,179621799.0,-,2.0,-0.122,,,,13.0,K562
AATF,ENSG00000169045,HNRNPH1,protein_coding,2,2,3,AATF:CH458,chr5,179623504,179623543,179623504,179623543.0,-,1.0,-0.122,,,,13.0,K562
AATF,ENSG00000169710,FASN,protein_coding,1,1,1,AATF:CH236,chr17,82089991,82090030,82089991,82090030.0,-,1.0,,,,,20.0,K562
AATF,ENSG00000173598,NUDT4,protein_coding,1,1,1,AATF:CH128,chr12,93398871,93398910,93398871,93398910.0,+,1.0,,,,,16.0,K562
AATF,ENSG00000179029,TMEM107,protein_coding,1,2,6,AATF:CH204,chr17,8173475,8173573,8173475,8173573.0,-,2.0,,,,,14.0,K562
AATF,ENSG00000186298,PPP1CC,protein_coding,1,1,1,AATF:CH131,chr12,110742799,110742838,110742799,110742838.0,-,1.0,,,,,22.0,K562
AATF,ENSG00000186432,KPNA4,protein_coding,1,2,3,AATF:CH415,chr3,160515069,160515098,160515069,160515098.0,-,2.0,0.252,,,,19.0,K562
AATF,ENSG00000187109,NAP1L1,protein_coding,1,2,2,AATF:CH127,chr12,76068704,76068744,76068704,76068744.0,-,2.0,0.484,,,,26.0,K562
AATF,ENSG00000196305,IARS1,protein_coding,1,2,2,AATF:CH524,chr9,92292467,92292506,92292467,92292506.0,-,2.0,0.256,,,,15.0,K562
AATF,ENSG00000198815,FOXJ3,protein_coding,1,1,1,AATF:CH21,chr1,42177698,42177737,42177698,42177737.0,-,1.0,,,,,17.0,K562
AATF,ENSG00000205339,IPO7,protein_coding,1,1,1,AATF:CH72,chr11,9428868,9428907,9428868,9428907.0,+,1.0,0.213,,,,13.0,K562
AATF,ENSG00000213639,PPP1CB,protein_coding,1,1,1,AATF:CH291,chr2,28751992,28752031,28751992,28752031.0,+,1.0,-0.376,,,,15.0,K562
AATF,ENSG00000255823,MTRNR2L8,protein_coding,2,2,10,AATF:CH73,chr11,10507904,10507943,10507904,10507943.0,-,1.0,,,,,18.0,K562
AATF,ENSG00000255823,MTRNR2L8,protein_coding,2,2,10,AATF:CH74,chr11,10508967,10508975,10508967,10508975.0,-,2.0,,,,,18.0,K562
AATF,ENSG00000277957,SENP3-EIF4A1,protein_coding,3,2,6,AATF:CH200,chr17,7574809,7574809,7574809,7574809.0,+,1.0,-1.121,,,,10.0,K562
AATF,ENSG00000277957,SENP3-EIF4A1,protein_coding,3,2,6,AATF:CH201,chr17,7576892,7576934,7576892,7576934.0,+,2.0,-1.121,,,,10.0,K562
AATF,ENSG00000277957,SENP3-EIF4A1,protein_coding,3,2,6,AATF:CH202,chr17,7577986,7578065,7577986,7578065.0,+,2.0,-1.121,,,,10.0,K562
AATF,ENSG00000285043,AC093512.2,protein_coding,2,2,2,AATF:CH180,chr16,30065852,30065891,30065852,30065891.0,+,1.0,,,,,0.0,K562
AATF,ENSG00000285043,AC093512.2,protein_coding,2,2,2,AATF:CH181,chr16,30068838,30068877,30068838,30068877.0,+,1.0,,,,,0.0,K562
ABCF1,ENSG00000105220,GPI,protein_coding,1,1,1,ABCF1:CH18,chr19,34391523,34391562,34391523,34391562.0,+,1.0,-0.698,,,,16.0,K562
ABCF1,ENSG00000137955,RABGGTB,protein_coding,1,1,1,ABCF1:CH2,chr1,75787889,75787889,75787889,75787889.0,+,1.0,-0.635,-0.185,,,11.0,K562
ABCF1,ENSG00000179029,TMEM107,protein_coding,1,1,1,ABCF1:CH16,chr17,8173458,8173497,8173458,8173497.0,-,1.0,,,,,16.0,K562
ABCF1,ENSG00000255823,MTRNR2L8,protein_coding,2,1,2,ABCF1:CH6,chr11,10507909,10507948,10507909,10507948.0,-,1.0,,,,,19.0,K562
ABCF1,ENSG00000255823,MTRNR2L8,protein_coding,2,1,2,ABCF1:CH7,chr11,10508965,10508965,10508965,10508965.0,-,1.0,,,,,19.0,K562
ACIN1,ENSG00000001084,GCLC,protein_coding,1,1,1,ACIN1:CH14227,chr6,53544232,53544271,53544232,53544271.0,-,1.0,,,,,16.0,HeLa
ACIN1,ENSG00000002834,LASP1,protein_coding,5,1,6,ACIN1:CH7142,chr17,38878125,38878164,38878125,38878164.0,+,1.0,,,,,21.0,HeLa
ACIN1,ENSG00000002834,LASP1,protein_coding,5,1,6,ACIN1:CH7143,chr17,38898437,38898476,38898437,38898476.0,+,1.0,,,,,21.0,HeLa
ACIN1,ENSG00000002834,LASP1,protein_coding,5,1,6,ACIN1:CH7144,chr17,38914384,38914423,38914384,38914423.0,+,1.0,,,,,21.0,HeLa
ACIN1,ENSG00000002834,LASP1,protein_coding,5,1,6,ACIN1:CH7145,chr17,38919864,38919903,38919864,38919903.0,+,1.0,,,,,21.0,HeLa
ACIN1,ENSG00000002834,LASP1,protein_coding,5,1,6,ACIN1:CH7146,chr17,38921439,38921661,38921439,38921661.0,+,1.0,,,,,21.0,HeLa
ACIN1,ENSG00000003056,M6PR,protein_coding,3,1,3,ACIN1:CH3959,chr12,8941657,8941696,8941657,8941696.0,-,1.0,,,,,18.0,HeLa
ACIN1,ENSG00000003056,M6PR,protein_coding,3,1,3,ACIN1:CH3960,chr12,8943851,8943890,8943851,8943890.0,-,1.0,,,,,18.0,HeLa
ACIN1,ENSG00000003056,M6PR,protein_coding,3,1,3,ACIN1:CH3961,chr12,8946301,8946340,8946301,8946340.0,-,1.0,,,,,18.0,HeLa
ACIN1,ENSG00000003436,TFPI,protein_coding,2,1,2,ACIN1:CH9944,chr2,187496896,187496935,187496896,187496935.0,-,1.0,,,,,14.0,HeLa
ACIN1,ENSG00000003436,TFPI,protein_coding,2,1,2,ACIN1:CH9945,chr2,187554240,187554279,187554240,187554279.0,-,1.0,,,,,14.0,HeLa
ACIN1,ENSG00000003989,SLC7A2,protein_coding,9,4,14,ACIN1:CH15876,chr8,17522178,17522217,17522178,17522217.0,+,1.0,,,,,8.0,HeLa
ACIN1,ENSG00000003989,SLC7A2,protein_coding,9,4,14,ACIN1:CH15877,chr8,17523132,17523171,17523132,17523171.0,+,1.0,,,,,8.0,HeLa
